Stationen vom: 10.08.2015
"Stationscode";"Stationsname";"Kategorie";"Synonym";"Aktiv seit ";"Aktivitätsperiode: von ";"Aktivitätsperiode: bis";"Verlegt";"Straße";"Nr";"PLZ";"Ort";"Länge dezimal";"Breite dezimal";"Höhe";"Stationsumgebung (EoI)";"Art der Station (EoI)";"Einwohnerzahl (EoI)";"Abstand zur Straße (EoI)";"Bemerkung (EoI)";"Lokaler Code";"EMEP-Code";"O3-Klasse aus UBA FE";"NO/NO2-Klasse aus UBA FE";"Bemerkung des UBA(1)";"Bemerkung des UBA(2)";"Bemerkung des Netzbetreibers";"AEI-Station";"AEI-von";"AEI-bis";"ersetzt AEI-Station";"Amtlicher Gemeindeschlüssel (AGS)";"Gemeindenamen";"Entfernung von einer verkehrsreichen Kreuzung in Metern";"Geschätztes Verkehrsaufkommen (Anzahl der Fahrzeuge pro Tag)";"Waagrechte Entfernung vom nächsten Gebäude in Metern";"Entfernung von der nächsten Straße in Metern";"Entfernung von der wichtigsten Industriequelle in Metern";"Quelle 1 (Hauptquelle)";"Quelle 1 (Hauptquelle) - ID";"Gasförmige Schadstoffe";"Partikelförmige Schadstoffe";"Deposition";"Umweltmonitoring-Typ";
"DEHH003";"HH Stadtpark";"Luftmessstation";"07SP";"01.09.1984";"01.09.1984";"31.03.1993";"nein";"Saarlandstraße";"";"22303";"Hamburg";"10,029068";"53,597774";"8";"städtisches Gebiet";"Hintergrund";"";">100-200 m";"";"07SP";"No";"";"";"Stadtpark, Saarlandstraße zwischen Rugbyfeld und Tennisplätzen, 22303 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH004";"HH Wandsbek-Gartenstadt";"Luftmessstation";"";"01.09.1984";"01.09.1984";"31.08.1991";"nein";"Rauschener Ring";"12a-c";"22047";"Hamburg";"10,081942";"53,598206";"12";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"08WG";"No";"";"";"Rauschener Ring 12a-c, 22047 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH005";"HH Rahlstedt";"Luftmessstation";"";"01.01.1985";"01.01.1985";"04.02.1998";"nein";"Wandseredder";"10";"22149";"Hamburg";"10,143868";"53,597629";"24";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"";"09RA";"No";"ST";"ST";"Wandseredder 10, 22149 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH006";"HH Hochkamp";"Luftmessstation";"";"01.05.1984";"01.05.1984";"01.04.1997";"nein";"Winkelmannstr.";"137";"22609";"Hamburg";"9,842533";"53,560597";"30";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"11HO";"No";"";"ST";"Winkelmannstr. 137, 22609 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH007";"HH Bahrenfeld";"Luftmessstation";"";"01.03.1984";"01.03.1984";"20.04.1999";"nein";"Baurstr.";"";"22605";"Hamburg";"9,899900";"53,561077";"22";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"12BA";"No";"";"ST";"Baurstr., 22605 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH008";"Hamburg Sternschanze";"Luftmessstation";"";"01.03.1984";"01.03.1984";"";"nein";"Dänenweg";"";"20357";"Hamburg";"9,967882";"53,564140";"15";"städtisches Gebiet";"Hintergrund";"";"";"";"13ST";"No";"ST";"ST";"Dänenweg, 20357 Hamburg";"";"";"ja";"01.01.2008";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH009";"HH Lübecker Straße";"Luftmessstation";"";"01.09.1984";"01.09.1984";"31.03.1999";"nein";"Lübecker Str.";"54";"22087";"Hamburg";"10,028129";"53,559145";"14";"städtisches Gebiet";"Verkehr";"";"";"";"14LS";"No";"";"ST";"Lübecker Str. 54, 22087 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH010";"HH Horner Rennbahn";"Luftmessstation";"15HR";"01.09.1984";"01.09.1984";"15.05.1996";"nein";"Rennbahnstraße";"";"22119";"Hamburg";"10,083974";"53,559550";"12";"städtisches Gebiet";"Hintergrund";"";">200-500 m";"";"15HR";"No";"";"";"Auf der Rennbahn, Rennbahnstraße, 22111 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH011";"HH Öjendorf";"Luftmessstation";"16OE";"01.01.1985";"01.01.1985";"31.03.1993";"nein";"Grootmoorredder";"";"22117";"Hamburg";"10,147425";"53,561653";"24";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"16OE";"No";"";"";"Gartenbauamt, Grootmoorredder, 22117 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH012";"HH Finkenwerder";"Luftmessstation";"17FI";"01.05.1984";"01.05.1984";"30.09.1991";"nein";"Finkenwerder Westerdeich";"11";"21129";"Hamburg";"9,844817";"53,523741";"5";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"17FI";"No";"";"";"Gegenüber Finkenwerder Westerdeich 11, 21129 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH013";"HH Waltershof";"Luftmessstation";"";"01.05.1984";"01.05.1984";"31.03.1995";"nein";"Antwerpenstraße";"";"21129";"Hamburg";"9,900703";"53,527826";"6";"vorstädtisches Gebiet";"Industrie";"";"";"";"18WA";"No";"";"";"Straßenquerung der Hafenbahn, Antwerpenstraße, 21129 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEHH014";"HH Steinwerder";"Luftmessstation";"19SW";"01.07.1984";"01.07.1984";"21.04.1999";"nein";"Roßdamm";"";"20457";"Hamburg";"9,973052";"53,526360";"8";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"19SW";"No";"";"ST";"Roßdamm, 20457 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH015";"Hamburg Veddel";"Luftmessstation";"";"01.07.1984";"01.07.1984";"";"nein";"Am Zollhafen";"";"20539";"Hamburg";"10,021227";"53,523262";"4";"städtisches Gebiet";"Industrie";"";"direkt (0-1 m)";"Die Elementbelastungen sind durch die Emissionen der in der Nähe gelegenen Kupferhütte beeinflußt.";"20VE";"No";"";"ST";"Am Zollhafen gegenüber vom Jugendheim, 20539 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"1000";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEHH016";"Hamburg Billbrook";"Luftmessstation";"21BI";"01.01.1985";"01.01.1985";"";"nein";"Pinkertweg";"";"22113";"Hamburg";"10,081685";"53,529020";"5";"städtisches Gebiet";"Industrie";"";">200-500 m";"";"21BI";"No";"";"ST";"Pinkertweg, 22113 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"3000";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEHH017";"HH Mümmelmannsberg";"Luftmessstation";"22MB";"01.01.1985";"01.01.1985";"31.03.1993";"nein";"Asbrookdamm";"37";"22115";"Hamburg";"10,150904";"53,522982";"24";"städtisches Gebiet";"Hintergrund";"";"";"";"22MB";"No";"";"";"Betriebsgeländer der Firma Hammonia, Asbrookdamm 37, 22115 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH018";"HH Moorburg";"Luftmessstation";"24MO";"01.07.1984";"01.07.1984";"31.03.1991";"nein";"Walterhofer Straße";"33";"21079";"Hamburg";"9,908942";"53,490024";"0";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"24MO";"No";"";"";"Betriebsgeländer der HEW, Walterhofer Straße, 21049 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH019";"HH Hohe Schaar";"Luftmessstation";"25HS";"01.07.1984";"01.07.1984";"30.04.1993";"nein";"Kattwykdamm";"";"21107";"Hamburg";"9,966263";"53,493169";"6";"städtisches Gebiet";"Industrie";"";">10-50 m";"";"25HS";"No";"";"";"Nahe der Rohrbrücke, Kattwykdamm, 21107 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEHH020";"HH Kirchdorf";"Luftmessstation";"26KI";"01.07.1984";"01.07.1984";"03.04.2000";"nein";"Otto-Brenner-Str.";"";"21109";"Hamburg";"10,020449";"53,490921";"1";"städtisches Gebiet";"Hintergrund";"";">50-100 m";"";"26KI";"No";"";"ST";"Jahnsportplatz, Otto-Brenner-Straße, 21109 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH021";"Hamburg Tatenberg";"Luftmessstation";"";"01.01.1985";"01.01.1985";"";"nein";"Tatenberger Deich";"";"21037";"Hamburg";"10,083646";"53,487669";"2";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"Fluß:Nordelbe";"27TA";"No";"ST";"ST";"";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH022";"HH Göhlbachtal";"Luftmessstation";"";"01.01.1985";"01.01.1985";"28.09.1998";"nein";"gegenüber Göhlbachtal";"38";"21073";"Hamburg";"9,963860";"53,453652";"16";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"30GT";"No";"ST";"ST";"gegenüber Göhlbachtal 38, 21073 Hamburg (Harburg/Eißedorf) (Länderfax), war in des98.xls mit 21037 angegeben (falsch!!!)";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH023";"HH Neuland";"Luftmessstation";"31NE";"01.01.1985";"01.01.1985";"30.04.1993";"nein";"neben Brammerhäger Damm";"10";"21079";"Hamburg";"10,025500";"53,450443";"10";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"31NE";"No";"";"";"neben Brammerhäger Damm 10, 21079 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH024";"HH Grindelhof (Straße)";"Luftmessstation";"24GH";"01.06.1991";"01.06.1991";"31.05.1992";"nein";"Grindelhof";"3";"20146";"Hamburg";"9,981548";"53,567623";"11";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"24GH";"No";"";"";"Grindelhof 3, 20146 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH025";"HH Hudtwalckerstr (Straße)";"Luftmessstation";"08HW";"01.11.1991";"01.11.1991";"31.10.1992";"nein";"Hudtwalckerstraße";"24";"22299";"Hamburg";"9,997277";"53,594449";"6";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"08HW";"No";"";"";"Hudtwalckerstraße 24/26, 22299 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH026";"Hamburg Stresemannstraße";"Luftmessstation";"";"24.10.1991";"24.10.1991";"";"nein";"Stresemannstraße";"95";"22769";"Hamburg";"9,957236";"53,560632";"20";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"17SM";"No";"";"VK";"Stresemannstraße 95, 22769 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"150";"32000";"6";"50";"";"Verkehr (1A3)";"1A3";"1,5";"3,5";"";"k.A.";
"DEHH027";"HH Siemersplatz (Straße)";"Luftmessstation";"24SI";"01.08.1992";"01.08.1992";"31.01.1994";"nein";"Siemersplatz";"";"22529";"Hamburg";"9,964151";"53,599213";"13";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"24SI";"No";"";"";"Siemersplatz, 22529 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH028";"HH Mühlenkamp (Straße)";"Luftmessstation";"32MU";"01.03.1993";"01.03.1993";"31.03.1994";"nein";"Mühlenkamp";"33";"22303";"Hamburg";"10,011611";"53,581659";"4";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"32MU";"No";"";"";"Mühlenkamp 33, 22303 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH029";"HH Neuer Kamp (Straße)";"Luftmessstation";"08NK";"01.06.1993";"01.06.1993";"30.11.1994";"nein";"Neuer Kamp";"23";"20359";"Hamburg";"9,966219";"53,557415";"18";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"08NK";"No";"";"";"Neuer Kamp 23-25, 20359 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH030";"HH Blankenese-Elbhang";"Luftmessstation";"";"02.04.1997";"02.04.1997";"02.11.1998";"nein";"Falkentaler Weg";"23-33";"22587";"Hamburg";"9,792843";"53,562330";"20";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"48BL";"No";"ST";"";"Falkentaler Weg 23-33, 22587 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEHH031";"HH Fernsehturm";"Luftmessstation";"";"01.07.1993";"01.07.1993";"13.10.1996";"nein";"Karolinenstraße";"2";"20357";"Hamburg";"9,975860";"53,563177";"188";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"es wurde in 188 m Höhe gemessen";"33FT";"No";"";"";"auf dem Fernsehturm, Karolinenstraße 2, 20357 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEHH032";"HH Vierlandenstraße (Straße)";"Luftmessstation";"34BE";"01.03.1994";"01.03.1994";"07.03.1995";"nein";"Vierlandenstraße";"17";"21029";"Hamburg";"10,210646";"53,487168";"4";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"34BE";"No";"";"";"Vierlandenstraße 17, 21029 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH033";"Hamburg Flughafen Nord";"Luftmessstation";"";"01.04.1994";"01.04.1994";"";"nein";"Nähe Holtkoppel auf Flughafengelände";"";"22335";"Hamburg";"9,998009";"53,638291";"13";"städtisches Gebiet";"Hintergrund";"";">100-200 m";"Fluss:Alster,Flughafen mit Ökozertifikat, Bilder fehlen, da kein Zutritt";"24FL";"No";"";"";"vom 28.07.1995 bis 30.11.1998 unterbrochen, Nähe Holtkoppel, auf dem Flughafengelände, 22335 Hamburg (Fuhlsbüttel)";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH034";"HH Eppendorfer Baum (Straße)";"Luftmessstation";"35EB";"01.06.1994";"01.06.1994";"09.06.1995";"nein";"Eppendorfer Baum";"35";"20249";"Hamburg";"9,982240";"53,584420";"6";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"35EB";"No";"";"";"Eppendorfer Baum 35, 20249 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH035";"HH Winsener Straße (Straße)";"Luftmessstation";"36WS";"14.02.1995";"14.02.1995";"12.04.1999";"nein";"Winsener Str.";"54";"21077";"Hamburg";"9,989325";"53,448052";"12";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"36WS";"No";"";"VK";"Winsener Str. 54, 21077 Hamburg, Außer Betrieb zwischen 11.3.1996 und 25.2.1998";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH036";"HH Fuhlsbüttler Straße (Straße)";"Luftmessstation";"37FU";"01.07.1995";"01.07.1995";"03.09.1996";"nein";"Fuhlsbüttler Straße";"218";"22307";"Hamburg";"10,044106";"53,594948";"16";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"37FU";"No";"";"";"Fuhlsbüttler Straße 218, 22307 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH037";"HH Osterstraße (Straße)";"Luftmessstation";"38OS";"30.05.1995";"30.05.1995";"01.07.1996";"nein";"Osterstraße";"86";"20259";"Hamburg";"9,953052";"53,575941";"16";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"38OS";"No";"";"";"Osterstraße 86, 20259 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH038";"HH Flughafen Südwest";"Luftmessstation";"39FL";"09.11.1995";"09.11.1995";"04.04.1997";"nein";"Nähe Engernweg auf Flughafengelände";"";"22335";"Hamburg";"9,972136";"53,624532";"8";"vorstädtisches Gebiet";"Verkehr";"";">50-100 m";"";"39FL";"No";"";"ST";"An der Landebahn 1, nahe zur Straße Engernweg 52, 22335 Hamburg";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH039";"HH Krohnstieg (Straße)";"Luftmessstation";"40KT";"03.11.1995";"03.11.1995";"18.11.1996";"nein";"Ecke Sperlingsweg/Bayernweg";"";"22453";"Hamburg";"9,976253";"53,645704";"16";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"40KT";"No";"";"";"Krohnstieg, Ecke Sperlingsweg/Bayernweg, 22453 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH040";"HH Theodor-Heuss-Platz (Straße)";"Luftmessstation";"42TH";"17.01.1996";"17.01.1996";"02.04.1998";"nein";"Theodor-Heuss-Platz";"";"20354";"Hamburg";"9,989403";"53,561358";"9";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"42TH";"No";"";"VK";"An der Nordwestecke des Bahnhofs Dammtor, Theodor-Heuss-Platz, 20354 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"";"";"k.A.";
"DEHH041";"HH Simon-von-Utrecht-Straße (Straße)";"Luftmessstation";"43SU";"21.05.1996";"21.05.1996";"12.06.1997";"nein";"Simon-von-Utrecht-Str.";"83";"20359";"Hamburg";"9,963358";"53,551103";"15";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"43SU";"No";"";"";"Simon-von-Utrecht-Straße 83, 20359 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH042";"HH Tarpenbekstraße (Straße)";"Luftmessstation";"44TB";"01.08.1996";"01.08.1996";"02.11.1998";"nein";"Tarpenbekstr.";"52-54";"20251";"Hamburg";"9,984047";"53,593930";"8";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"44TB";"No";"";"VK";"Tarpenbekstr. 52-54, 20251 Hamburg (Eppendorf)";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH043";"HH Bremer Straße (Straße)";"Luftmessstation";"45BS";"28.11.1996";"28.11.1996";"02.12.1997";"nein";"Bremer Str.";"25";"21073";"Hamburg";"9,979141";"53,456897";"14";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"45BS";"No";"";"VK";"Bremer Straße 25, 21079 Hamburg (Harburg)";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH044";"HH Barnerstraße (Straße)";"Luftmessstation";"46BR";"27.01.1997";"27.01.1997";"23.02.1999";"nein";"Barnerstraße";"36";"22765";"Hamburg";"9,929297";"53,556540";"28";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"46BR";"No";"";"VK";"Barner Str. 36, 22765 Hamburg (Ottensen)";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH045";"HH Nordschleswiger Straße (Straße)";"Luftmessstation";"47NO";"21.03.1997";"21.03.1997";"01.04.1999";"nein";"Nordschleswiger Str.";"72";"22049";"Hamburg";"10,068086";"53,581438";"13";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"47NO";"No";"";"VK";"Nordschleswiger Str. 72, 22049 Hamburg (Dulsberg)";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH046";"HH Flughafen Nordost";"Luftmessstation";"49FL";"21.05.1997";"21.05.1997";"04.06.1998";"nein";"Verlängerung Start- und Landebahn 1";"";"22415";"Hamburg";"10,010089";"53,641245";"15";"ländlich stadtnah";"Verkehr";"";"";"";"49FL";"No";"";"";"Verlängerung der Start- und Landebahn 1, 22415 Hamburg (Langenhorn)";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH047";"Hamburg Bramfeld";"Luftmessstation";"51BF";"01.04.1998";"01.04.1998";"";"nein";"Karlshöhe";"";"22175";"Hamburg";"10,110595";"53,630740";"31";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"";"51BF";"No";"";"";"";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEHH048";"HH Max-Brauer-Allee (Straße)";"Luftmessstation";"50MB";"01.08.1997";"01.08.1997";"08.02.2002";"nein";"Max-Brauer-Allee";"87";"22765";"Hamburg";"9,942706";"53,555491";"25";"städtisches Gebiet";"Verkehr";"";"direkt (0-1 m)";"Die Station wurde zuvor als Max-Brauer-Allee1 in ca. 25 m Entfernung betrieben,See:Außen See;Fluß:Elbe";"50MB";"No";"";"VK";"Mittelstreifen der Max-Brauer-Allee, bei Haus Nr. 87, 22765 Hamburg";"";"verlegt nach Max-Brauer-Allee II (DEHH070)";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH049";"Hamburg Blankenese-Baursberg";"Luftmessstation";"54BL";"21.12.1998";"21.12.1998";"";"nein";"Notenbarg, Wasserwerk Baursberg";"";"22587";"Hamburg";"9,786234";"53,568124";"75";"vorstädtisches Gebiet";"Hintergrund";"";"direkt (0-1 m)";"Fluß:Unterelbe";"54BL";"No";"";"";"Notenbarg, Wasserwerk Baursberg, 22587 Hamburg, Meteorologie in 3,5 m";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEHH050";"Hamburg Neugraben";"Luftmessstation";"52NG";"01.07.1998";"01.07.1998";"";"nein";"Neugrabener Dorf";"79/81";"21147";"Hamburg";"9,857223";"53,480927";"3";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"Fluß:Unterelbe";"52NG";"No";"";"";"";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEHH051";"HH Steinstraße (Straße)";"Luftmessstation";"55SN";"17.12.1998";"17.12.1998";"01.04.2001";"nein";"Steinstr.";"17";"20095";"Hamburg";"10,002102";"53,549976";"13";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"55SN";"No";"";"";"Steinstr. 17, 20095 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH052";"HH Grindelallee (Straße)";"Luftmessstation";"56GA";"27.04.1999";"27.04.1999";"05.06.2000";"nein";"Grindelallee";"117";"20146";"Hamburg";"9,979540";"53,568898";"12";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"56GA";"No";"";"";"Grindelallee 117, 20146 Hamburg";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH053";"HH Lange Reihe (Straße)";"Luftmessstation";"53LR";"01.07.1998";"01.07.1998";"02.08.1999";"nein";"Lange Reihe";"67";"20099";"Hamburg";"10,011614";"53,557740";"6";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"53LR";"No";"";"";"Lange Reihe 65, 20099 Hamburg (St. Georg)";"";"Verkehr";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEHH054";"HH Bergedorf";"Luftmessstation";"59BE";"01.06.1999";"01.06.1999";"03.05.2007";"nein";"Schule Leuschnerstr.";"13";"21031";"Hamburg";"10,206631";"53,497003";"13";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"59BE";"No";"";"";"";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEHH055";"HH Harburg";"Luftmessstation";"58HA";"01.06.1999";"01.06.1999";"29.03.2004";"nein";"TU Harburg, Denickestr.";"";"21073";"Hamburg";"9,967393";"53,460066";"20";"städtisches Gebiet";"Hintergrund";"";">100-200 m";"Fluß:Süder-Elbe";"58HA";"No";"";"";"Denickestr., TU Harburg, 21073 Hamburg (Harburg)";"";"";"nein";"";"";"";"2000000";"Hamburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
